Station_Code,Well_Name,LATITUDE,LONGITUDE,Elevation,COUNTY_NAME,BASIN_CODE,BASIN_NAME,Well_Depth,WELL_USE,WELL_TYPE
23N01W28M002M,Screen: 791-1021 ft,39.818773,-121.991188,159.02,Butte,5-021.57,Vina,1044.0,Observation,Part of a nested/multi-completion well
23N01W28M003M,Screen: 640-670 ft,39.818773,-121.991188,159.02,Butte,5-021.57,Vina,696.0,Observation,Part of a nested/multi-completion well
23N01W28M004M,Screen: 120-165 ft,39.818773,-121.991188,159.02,Butte,5-021.57,Vina,207.0,Observation,Part of a nested/multi-completion well
23N01W28M005M,Screen: 30-50 ft,39.818773,-121.991188,159.02,Butte,5-021.57,Vina,72.0,Observation,Part of a nested/multi-completion well
23N01W31M001M,Screen: 1020-1030 ft,39.802772,-122.029408,154.75,Butte,5-021.57,Vina,1200.0,Observation,Part of a nested/multi-completion well
23N01W31M002M,Screen: 590-600 ft,39.802772,-122.029408,154.75,Butte,5-021.57,Vina,616.0,Observation,Part of a nested/multi-completion well
23N01W31M003M,Screen: 140-201 ft,39.802772,-122.029408,154.75,Butte,5-021.57,Vina,245.0,Observation,Part of a nested/multi-completion well
23N01W31M004M,Screen: 66-76 ft,39.802772,-122.029408,154.75,Butte,5-021.57,Vina,106.0,Observation,Part of a nested/multi-completion well
23N02W28N001M,Screen: 550-570 ft,39.811489,-122.102064,202.14,Tehama,5-021.51,Corning,970.0,Observation,Part of a nested/multi-completion well
23N02W28N002M,Screen: 550-570 ft,39.811489,-122.102064,202.14,Tehama,5-021.51,Corning,580.0,Observation,Part of a nested/multi-completion well
23N02W28N003M,Screen: 330-350 ft,39.811486,-122.102101,202.14,Tehama,5-021.51,Corning,370.0,Observation,Part of a nested/multi-completion well
23N02W28N004M,Screen: 110-110 ft,39.811486,-122.102101,202.14,Tehama,5-021.51,Corning,205.0,Observation,Part of a nested/multi-completion well
23N03W13C003M,Screen: 900-970 ft,39.8543,-122.153467,213.54,Tehama,5-021.51,Corning,980.0,Observation,Part of a nested/multi-completion well
23N03W13C004M,Screen: 812-825 ft,39.8543,-122.153467,213.54,Tehama,5-021.51,Corning,835.0,Observation,Part of a nested/multi-completion well
23N03W13C005M,Screen: 345-355 ft,39.8543,-122.153467,213.54,Tehama,5-021.51,Corning,381.0,Observation,Part of a nested/multi-completion well
23N03W13C006M,Screen: 95-135 ft,39.8543,-122.153467,213.54,Tehama,5-021.51,Corning,182.0,Observation,Part of a nested/multi-completion well
23N03W13C007M,Screen: 25-35 ft,39.8543,-122.153467,213.54,Tehama,5-021.51,Corning,71.0,Observation,Part of a nested/multi-completion well
23N03W25M001M,Screen: 965-975 ft,39.81925,-122.159,235.62,Tehama,5-021.51,Corning,988.0,Observation,Part of a nested/multi-completion well
23N03W25M002M,Screen: 470-500 ft,39.81925,-122.159,235.62,Tehama,5-021.51,Corning,513.0,Observation,Part of a nested/multi-completion well
23N03W25M003M,Screen: 240-250 ft,39.81925,-122.159,235.62,Tehama,5-021.51,Corning,262.0,Observation,Part of a nested/multi-completion well
23N03W25M004M,Screen: 120-130 ft,39.81925,-122.159,235.62,Tehama,5-021.51,Corning,130.0,Observation,Part of a nested/multi-completion well
23S25E13E001M,PIDGSA-01U,35.929895,-119.23266,291.97,Tulare,5-022.13,Tule,280.0,Observation,Part of a nested/multi-completion well
23S25E13E002M,PIDGSA-01L,35.929895,-119.23266,291.97,Tulare,5-022.13,Tule,1015.0,Observation,Part of a nested/multi-completion well
24N01W04L001M,Screen: 188-520 ft,39.962981,-121.988839,322.41,Tehama,5-021.56,Los Molinos,520.0,Irrigation,Unknown
24N01W04M001M,Screen: 620-920 ft,39.962467,-121.994654,312.41,Tehama,5-021.56,Los Molinos,960.0,Irrigation,Single Well
24N01W05G001M,Screen: 130-490 ft,39.96552,-122.000431,304.41,Tehama,5-021.56,Los Molinos,490.0,Irrigation,Single Well
24N01W05J001M,Screen: Unknown,39.963509,-121.995328,312.41,Tehama,5-021.56,Los Molinos,178.0,Residential,Single Well
24N01W05J003M,Screen: 295-335 ft,39.963278,-121.995462,312.41,Tehama,5-021.56,Los Molinos,385.0,Observation,Part of a nested/multi-completion well
24N01W05J004M,Screen: 650-722 ft,39.963278,-121.995462,310.0,Tehama,5-021.56,Los Molinos,760.0,Observation,Part of a nested/multi-completion well
24N01W05K001M,Screen: Unknown,39.961492,-122.004195,290.41,Tehama,5-021.56,Los Molinos,260.0,Irrigation,Single Well
